fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.2,0.28,0.56,2.3,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5.0
22.088325,0.6,0.0,1.9,0.092,15.0,27.152500000000003,0.997,3.26,0.65,9.8,5.0
8.9,20.505000000000003,0.08,1.2,0.075,13.0,40.0,0.9978,3.51,0.56,9.8,5.0
8.1,0.56,0.29,1.8,0.073,15.0,21.0,0.9978,3.51,0.56,9.4,6.0
7.4,0.59,0.18,6.1,0.071,9.0,18.0,0.9964,3.3,0.46,9.4,-10.0
7.9,0.43,0.28,1.6,0.071,15.0,65.0,0.9968,3.39,0.47,9.4,5.0
6.9,0.4,0.51,3.9,0.114,16.0,102.0,0.9978,3.36,0.57,10.0,5.0
7.8,0.6,0.07,1.4,0.106,35.0,-15.787500000000003,0.9974,3.35,0.8,9.2,5.0
7.3,0.45,0.12,1.6,0.085,6.0,56.0,0.9986,-12.035625,0.52,10.5,5.0
8.1,0.66,0.0,2.4,0.106,-11.2625,29.0,0.9969,3.16,1.56,9.9,5.0
7.7,0.935,0.09,10.7,0.082,10.0,60.0,0.9968,3.17,0.88,9.1,5.0
8.7,0.29,0.36,1.8,0.089,9.0,71.0,0.9974,-12.035625,0.93,9.2,5.0
6.6,0.5,0.02,5.9,-11.187500000000002,4.0,40.0,0.9982,3.38,0.75,9.2,5.0
8.6,0.38,0.15,-15.7,0.103,10.0,23.0,0.9966,3.04,1.28,10.5,5.0
8.8,0.4,0.04,2.1,0.172,17.0,37.0,0.9968,3.52,-12.25275,9.0,7.0
7.2,0.725,0.04,1.6,0.074,15.0,16.0,0.9962,3.17,0.65,9.4,5.0
9.3,0.32,0.18,2.2,0.088,40.0,82.0,20.03,3.43,0.91,9.7,4.0
-12.413875,0.45,0.05,5.1,0.114,7.0,50.0,0.9958,3.17,0.53,9.5,17.0
7.4,0.5,0.07,2.4,0.066,12.0,18.0,0.9966,3.47,0.63,9.4,-10.0
6.8,0.775,0.64,1.6,0.07,22.0,46.0,-11.45,3.17,0.59,9.3,5.0
8.1,0.545,0.0,2.0,0.111,12.0,14.0,0.994,23.143875,0.91,9.5,5.0
8.3,0.61,0.12,1.9,0.076,5.0,23.0,0.9978,3.38,0.55,9.5,5.0
7.8,0.5,0.2,1.9,0.074,12.0,27.152500000000003,20.03,3.4,0.59,9.4,6.0
7.2,0.49,0.47,1.9,0.079,4.0,65.0,0.9976,3.42,0.54,9.8,5.0
6.2,0.63,0.48,2.5,0.085,6.0,37.0,0.9968,3.23,0.57,10.1,5.0
8.4,0.62,0.44,2.4,0.086,33.0,12.0,0.9962,3.5,0.66,10.6,5.0
7.8,0.56,0.29,1.9,0.076,50.0,15.0,0.9969,3.26,0.55,9.4,6.0
7.0,0.69,0.04,1.8,0.074,9.0,119.0,0.9958,3.21,0.6,9.2,5.0
8.0,0.71,0.25,1.9,0.088,-11.2625,45.0,0.9971,-13.573125,0.48,10.8,5.0
8.2,1.33,0.3,1.8,0.094,-11.2625,54.0,0.997,3.25,0.83,-10.5625,5.0
6.6,0.5,0.68,1.9,0.104,11.0,46.0,0.9955,3.25,0.51,10.5,17.0
6.3,0.39,0.19,2.5,0.086,15.0,54.0,0.9983,3.15,0.52,10.5,7.0
7.6,0.49,0.04,1.9,0.11,28.0,39.0,0.9962,3.39,0.73,9.5,4.0
7.3,0.55,0.09,2.3,0.07,21.0,83.0,0.9968,3.43,0.63,18.4575,6.0
7.5,-11.375000000000002,0.01,-15.7,0.079,16.0,42.0,0.9962,3.41,-17.12775,9.2,5.0
6.9,0.5,0.19,1.9,0.084,18.0,42.0,0.9969,3.44,0.56,18.4575,5.0
6.7,-11.375000000000002,0.0,2.2,0.07,34.0,15.0,20.03,3.41,0.63,9.4,4.0
12.8,0.3,0.42,1.8,0.084,41.0,40.0,0.9986,3.28,-17.12775,9.4,5.0
7.0,0.49,0.03,2.2,0.077,5.0,27.152500000000003,0.9958,3.32,0.64,10.2,5.0
8.1,0.725,0.04,1.8,-11.187500000000002,11.0,24.0,0.9972,3.32,0.71,18.4575,5.0
7.8,0.53,0.26,2.0,0.097,8.0,-15.787500000000003,0.9958,3.31,-17.12775,9.6,5.0
9.0,0.82,0.03,26.0815,0.08,5.0,31.0,0.9969,3.54,0.39,10.0,5.0
6.9,0.52,0.17,1.8,0.082,12.0,85.0,0.9959,3.54,0.39,9.4,6.0
8.0,0.38,0.05,1.6,0.081,15.0,23.0,0.9972,3.52,0.58,9.2,6.0
7.1,0.68,0.21,5.5,0.09,11.0,65.0,0.9966,3.36,0.54,9.8,5.0
8.2,0.6,0.57,2.2,0.089,7.0,36.0,0.9938,3.16,0.48,10.9,17.0
-12.413875,0.35,0.35,7.3,0.09,10.0,64.0,0.9963,2.93,0.82,9.6,5.0
