Sequence_Name,Tag_identificator,timestamp,date_FORMAT,x_coordinate,y_coordinate,z_coordinate,activity
A02,010-000-024-033,633790230241677177,27.05.2009 14:10:24:167,,,0.4496184289455414,walking
A02,010-000-024-033,633790230242758363,27.05.2009 14:10:24:277,,,0.3416872322559356,walking
A02,010-000-024-033,633790230243839526,27.05.2009 14:10:24:383,3.8668057918548575,2.037929058074951,0.4540541470050812,walking
A02,010-000-024-033,633790230244920703,27.05.2009 14:10:24:493,,2.053361177444458,0.3612026274204254,walking
A02,010-000-024-033,633790230246001875,27.05.2009 14:10:24:600,3.892980575561523,2.0033223628997803,,walking
A02,010-000-024-033,633790230247083052,27.05.2009 14:10:24:707,,,,walking
A02,010-000-024-033,633790230248164230,27.05.2009 14:10:24:817,,2.0731756687164307,0.4268221855163574,walking
A02,010-000-024-033,633790230249245402,27.05.2009 14:10:24:923,3.702093601226807,2.082828998565674,,walking
A02,010-000-024-033,633790230250326570,27.05.2009 14:10:25:033,,2.0567164421081543,0.2956596910953522,walking
A02,010-000-024-033,633790230251407746,27.05.2009 14:10:25:140,3.7741761207580566,2.018130302429199,0.0464074574410915,walking
A02,010-000-024-033,633790230252488922,27.05.2009 14:10:25:250,,,0.1928178369998932,walking
A02,010-000-024-033,633790230253570100,27.05.2009 14:10:25:357,3.6563642024993896,,,walking
A02,010-000-024-033,633790230254651273,27.05.2009 14:10:25:467,3.5698037147521973,,-0.0449666790664196,walking
A02,010-000-024-033,633790230255732448,27.05.2009 14:10:25:573,3.510118246078491,2.170012950897217,,walking
A02,010-000-024-033,633790230256813621,27.05.2009 14:10:25:680,,,-0.1129467859864234,walking
A02,010-000-024-033,633790230257894809,27.05.2009 14:10:25:790,3.485180377960205,2.170207023620605,-0.0923196524381637,walking
A02,010-000-024-033,633790230258975987,27.05.2009 14:10:25:897,3.511260986328125,,,walking
A02,010-000-024-033,633790230260057165,27.05.2009 14:10:26:007,3.396594285964966,,0.0974976867437362,walking
A02,010-000-024-033,633790230261138342,27.05.2009 14:10:26:113,3.5078787803649902,,,walking
A02,010-000-024-033,633790230262219519,27.05.2009 14:10:26:223,,1.85812783241272,0.158471018075943,walking
A02,010-000-024-033,633790230263300695,27.05.2009 14:10:26:330,,1.933801293373108,,walking
A02,010-000-024-033,633790230264381860,27.05.2009 14:10:26:437,3.217991590499878,,-0.0761558711528778,walking
A02,010-000-024-033,633790230266544203,27.05.2009 14:10:26:653,,,-0.0930133461952209,walking
A02,010-000-024-033,633790230267625374,27.05.2009 14:10:26:763,2.684849262237549,,,walking
A02,010-000-024-033,633790230268706551,27.05.2009 14:10:26:870,2.602177858352661,,0.2564004063606262,walking
A02,010-000-024-033,633790230269787730,27.05.2009 14:10:26:980,,1.2441184520721436,,walking
A02,010-000-024-033,633790230270868905,27.05.2009 14:10:27:087,2.6336472034454346,1.2901744842529297,,walking
A02,010-000-024-033,633790230271950075,27.05.2009 14:10:27:197,2.703645706176758,,0.2426582872867584,walking
A02,010-000-024-033,633790230273031263,27.05.2009 14:10:27:303,2.606554746627808,,,walking
A02,010-000-024-033,633790230274112433,27.05.2009 14:10:27:410,,,,walking
A02,010-000-024-033,633790230275193607,27.05.2009 14:10:27:520,,1.268341064453125,,sitting down
A02,010-000-024-033,633790230276274778,27.05.2009 14:10:27:627,2.7053747177124023,,0.4073515832424164,sitting down
A02,010-000-024-033,633790230277355954,27.05.2009 14:10:27:737,,1.3927993774414062,,sitting down
A02,010-000-024-033,633790230278437124,27.05.2009 14:10:27:843,2.672887086868286,1.3161635398864746,,sitting down
A02,010-000-024-033,633790230279518314,27.05.2009 14:10:27:953,2.7026689052581787,1.3272980451583862,0.3821723163127899,sitting down
A02,010-000-024-033,633790230280599494,27.05.2009 14:10:28:060,,,,sitting down
A02,010-000-024-033,633790230281680661,27.05.2009 14:10:28:167,,,,sitting down
A02,010-000-024-033,633790230282761831,27.05.2009 14:10:28:277,,,0.1835172176361084,sitting down
A02,010-000-024-033,633790230284924177,27.05.2009 14:10:28:493,,,,sitting down
A02,010-000-024-033,633790230286005350,27.05.2009 14:10:28:600,,,0.1775170564651489,sitting down
