Sequence_Name,Tag_identificator,timestamp,date_FORMAT,x_coordinate,y_coordinate,z_coordinate,activity
A01,020-000-032-221,633790226052091205,27.05.2009 14:03:25:210,,1.8264557123184204,,walking
A01,020-000-032-221,633790226053172379,27.05.2009 14:03:25:317,,1.887959599494934,0.7690189480781555,walking
A01,020-000-032-221,633790226055334743,27.05.2009 14:03:25:533,4.41847038269043,1.839860200881958,,walking
A01,020-000-032-221,633790226056415915,27.05.2009 14:03:25:640,4.363125801086426,,,walking
A01,020-000-032-221,633790226057497087,27.05.2009 14:03:25:750,4.443745136260986,1.882843017578125,,walking
A01,020-000-032-221,633790226058578251,27.05.2009 14:03:25:857,,,,walking
A01,020-000-032-221,633790226060740593,27.05.2009 14:03:26:073,4.321756839752197,2.016165971755981,0.9542430639266968,walking
A01,020-000-032-221,633790226062902937,27.05.2009 14:03:26:290,4.327484130859375,,,walking
A01,020-000-032-221,633790226063984109,27.05.2009 14:03:26:400,,1.9908361434936523,,walking
A01,020-000-032-221,633790226065065279,27.05.2009 14:03:26:507,,1.9333747625350952,0.9961614608764648,walking
A01,020-000-032-221,633790226066146460,27.05.2009 14:03:26:613,4.356683254241943,,1.0562540292739868,walking
A01,020-000-032-221,633790226067227640,27.05.2009 14:03:26:723,,1.8238227367401123,,walking
A01,020-000-032-221,633790226068308811,27.05.2009 14:03:26:830,,,,walking
A01,020-000-032-221,633790226069389983,27.05.2009 14:03:26:940,,1.9239206314086916,,walking
A01,020-000-032-221,633790226070471162,27.05.2009 14:03:27:047,,,0.9821466207504272,walking
A01,020-000-032-221,633790226071552336,27.05.2009 14:03:27:157,4.2771525382995605,1.970787048339844,,walking
A01,020-000-032-221,633790226072633512,27.05.2009 14:03:27:263,,1.9764504432678225,,walking
A01,020-000-032-221,633790226073714675,27.05.2009 14:03:27:370,,,0.9601329565048218,walking
A01,020-000-032-221,633790226074795847,27.05.2009 14:03:27:480,4.177395820617676,,0.9360881447792052,walking
A01,020-000-032-221,633790226075877015,27.05.2009 14:03:27:587,,1.9098222255706787,,walking
A01,020-000-032-221,633790226076958187,27.05.2009 14:03:27:697,,1.861572861671448,,walking
A01,020-000-032-221,633790226078039363,27.05.2009 14:03:27:803,4.101933479309082,1.825102925300598,0.8365544080734253,walking
A01,020-000-032-221,633790226079120543,27.05.2009 14:03:27:913,,,,walking
A01,020-000-032-221,633790226080201712,27.05.2009 14:03:28:020,,1.738551139831543,,walking
A01,020-000-032-221,633790226081282893,27.05.2009 14:03:28:127,3.358275890350342,1.802184581756592,,walking
A01,020-000-032-221,633790226082364060,27.05.2009 14:03:28:237,,,1.0544772148132324,walking
A01,020-000-032-221,633790226083445238,27.05.2009 14:03:28:343,3.3602914810180664,,,walking
A01,020-000-032-221,633790226084526407,27.05.2009 14:03:28:453,,1.8726269006729128,0.8041719794273376,walking
A01,020-000-032-221,633790226085607575,27.05.2009 14:03:28:560,,,,walking
A01,020-000-032-221,633790226086688742,27.05.2009 14:03:28:670,3.266451597213745,1.940006256103516,0.7445037961006165,walking
A01,020-000-032-221,633790226087769920,27.05.2009 14:03:28:777,3.505659818649292,,,walking
A01,020-000-032-221,633790226088851093,27.05.2009 14:03:28:887,,,,walking
A01,020-000-032-221,633790226089932263,27.05.2009 14:03:28:993,3.3842272758483887,1.9751328229904173,,walking
A01,020-000-032-221,633790226091013430,27.05.2009 14:03:29:100,3.382843494415283,1.9916499853134155,,walking
A01,020-000-032-221,633790226092094614,27.05.2009 14:03:29:210,3.330217838287353,1.932721495628357,0.62093585729599,walking
A01,020-000-032-221,633790226094256962,27.05.2009 14:03:29:427,3.2176551818847656,,,sitting down
A01,020-000-032-221,633790226095338135,27.05.2009 14:03:29:533,,1.8245257139205933,0.8238134980201721,sitting down
A01,020-000-032-221,633790226096419319,27.05.2009 14:03:29:643,3.072329521179199,,0.6934511065483093,sitting down
