hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3.0,0.0,6.0,0.0,1.0,0.24,0.2879,0.75,0.0,3.0,10.0,13.0
9.0,0.0,-6.725,0.0,1.0,0.32,0.3485,0.76,0.0,8.0,6.0,14.0
11.0,0.0,6.0,0.0,1.0,0.36,0.3333,0.81,0.2836,26.0,30.0,56.0
14.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2836,35.0,-16.309125,106.0
20.0,0.0,6.0,0.0,3.41,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
12.875,18.295475,6.0,0.0,2.0,0.4,0.4091,0.87,9.57,3.0,31.0,34.0
0.0,0.0,0.0,0.0,2.0,0.46,0.4545,0.88,0.2985,4.0,13.0,17.0
1.0,0.0,0.0,0.0,2.0,0.44,0.4394,0.94,0.2537,1.0,16.0,17.0
-8.125,0.0,0.0,10.105,2.0,0.46,0.4545,0.94,0.194,2.0,4.0,6.0
6.0,0.0,0.0,0.0,3.0,0.42,0.4242,0.77,0.2985,0.0,2.0,2.0
7.0,0.0,0.0,0.0,2.0,0.4,0.4091,0.76,0.194,0.0,1.0,1.0
8.0,0.0,0.0,0.0,3.0,0.4,0.4091,0.71,0.2239,0.0,8.0,8.0
10.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.81,0.2239,7.0,46.0,53.0
11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0
13.0,0.0,0.0,0.0,2.0,0.36,0.3485,0.66,0.1343,11.0,64.0,75.0
18.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.46,0.3284,10.0,43.0,53.0
20.0,0.0,0.0,0.0,1.0,0.3,0.2727,7.1,0.3582,5.0,17.0,22.0
22.0,0.0,0.0,0.0,3.41,5.285,0.2121,0.44,0.2985,0.0,9.0,9.0
-8.125,0.0,10.835,10.105,1.0,0.22,0.2273,7.1,0.1642,0.0,8.0,8.0
4.0,0.0,1.0,10.105,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0
6.0,0.0,1.0,1.0,1.0,0.14,0.1061,-4.5,0.3881,0.0,30.0,-22.3228125
-8.125,0.0,1.0,1.0,1.0,0.14,0.1364,0.5,0.194,1.0,63.0,64.0
9.0,-11.159125,1.0,1.0,1.0,-3.475,0.1364,0.43,0.3881,7.0,-12.682875,88.0
10.0,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0
11.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,41.0,51.0
13.0,0.0,1.0,1.0,3.41,-3.475,0.2121,7.1,0.2836,8.0,53.0,61.0
14.0,0.0,-6.725,1.0,3.41,0.26,0.2424,0.3,0.2836,11.0,66.0,77.0
15.0,0.0,1.0,1.0,3.41,0.26,0.2424,0.3,0.2537,14.0,58.0,72.0
18.0,0.0,1.0,1.0,1.0,0.24,0.2576,0.32,0.1045,9.0,148.0,157.0
19.0,0.0,1.0,1.0,1.0,0.2,0.2576,0.47,0.0,8.0,102.0,-22.3228125
20.0,0.0,1.0,1.0,-2.35,0.2,0.2273,0.47,0.1045,3.0,49.0,52.0
21.0,0.0,1.0,1.0,1.0,0.18,0.197,0.64,0.1343,3.0,49.0,52.0
1.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.59,0.1045,0.0,2.0,-22.3228125
-8.125,18.295475,2.0,1.0,1.0,5.285,0.1515,0.68,-5.95,0.0,4.0,4.0
-8.125,18.295475,2.0,1.0,-2.35,0.12,0.1515,-4.5,0.1045,0.0,36.0,36.0
12.0,0.0,2.0,1.0,3.41,0.22,0.2273,0.51,0.1642,12.0,66.0,78.0
15.0,0.0,2.0,-6.175,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0
16.0,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0
18.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.48,0.194,3.0,179.0,182.0
20.0,0.0,2.0,1.0,1.0,5.285,0.2576,0.48,0.1045,1.0,53.0,54.0
-8.125,0.0,2.0,1.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0
22.0,0.0,2.0,1.0,1.0,5.285,0.2576,0.64,0.0896,1.0,34.0,35.0
0.0,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0
2.0,0.0,3.0,1.0,1.0,0.16,0.197,0.74,0.0896,0.0,2.0,2.0
4.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0
5.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0
6.0,0.0,3.0,1.0,1.0,0.2,0.197,0.47,0.2239,0.0,33.0,33.0
8.0,0.0,3.0,1.0,1.0,0.2,0.1818,0.4,0.2985,3.0,192.0,195.0
9.0,0.0,3.0,1.0,1.0,0.22,0.197,0.37,0.3284,-10.75,109.0,115.0
15.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.194,7.0,55.0,-22.3228125
16.0,0.0,3.0,1.0,1.0,0.3,0.3182,0.28,-5.95,4.0,85.0,89.0
-8.125,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.194,4.0,186.0,190.0
19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0
20.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,7.0,82.0,37.3936875
21.0,0.0,3.0,1.0,1.0,0.2,0.197,0.51,0.194,3.0,40.0,43.0
-8.125,0.0,4.0,1.0,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0
1.0,0.0,4.0,1.0,1.0,0.16,3.5,0.64,0.0,0.0,4.0,4.0
2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0
4.0,0.0,4.0,1.0,2.0,0.16,0.197,-4.5,0.0896,0.0,1.0,1.0
7.0,0.0,10.835,1.0,2.0,0.16,0.2273,0.59,0.0,0.0,95.0,95.0
9.0,0.0,4.0,1.0,2.0,0.18,0.2424,0.51,0.0,6.0,116.0,122.0
12.0,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,-22.3228125
13.0,0.0,4.0,1.0,1.0,0.26,0.2727,0.35,0.1045,16.89,55.0,67.0
12.875,0.0,4.0,1.0,1.0,5.285,0.2727,0.36,0.1642,11.0,59.0,37.3936875
17.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0
20.0,0.0,4.0,1.0,1.0,0.2,0.2121,0.51,0.1642,3.0,66.0,69.0
23.0,0.0,4.0,1.0,2.0,-3.475,0.197,0.59,0.194,4.0,19.0,23.0
0.0,0.0,5.0,1.0,2.0,0.2,0.197,0.64,0.194,4.0,13.0,17.0
5.0,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,0.0,5.0,5.0
10.0,0.0,5.0,1.0,1.0,0.22,0.197,0.37,-5.95,16.0,47.0,63.0
11.0,0.0,5.0,10.105,-2.35,5.285,0.197,0.4,0.2239,19.0,48.0,67.0
14.0,0.0,5.0,1.0,2.0,0.2,0.197,0.4,0.2537,7.0,43.0,50.0
15.0,0.0,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,9.0,63.0,72.0
-8.125,0.0,5.0,1.0,2.0,0.2,-2.5,0.37,0.1642,16.89,82.0,-22.3228125
19.0,0.0,5.0,1.0,1.0,0.16,0.197,-4.5,0.0896,3.0,92.0,95.0
21.0,0.0,5.0,1.0,1.0,0.18,5.2925,0.47,0.1343,0.0,39.0,39.0
-8.125,0.0,5.0,1.0,2.0,0.18,0.197,0.51,0.1642,1.0,14.0,15.0
3.0,0.0,10.835,0.0,3.0,0.18,0.197,0.55,0.1642,0.0,7.0,7.0
4.0,0.0,6.0,0.0,3.41,0.18,0.197,0.55,0.1642,0.0,1.0,1.0
5.0,0.0,6.0,-6.175,2.0,0.16,0.1667,0.74,0.1642,0.0,5.0,5.0
6.0,0.0,6.0,0.0,3.41,0.16,-3.4875,0.74,0.1642,0.0,2.0,2.0
7.0,0.0,6.0,0.0,2.0,0.16,0.1818,0.74,9.57,17.25,8.0,9.0
8.0,0.0,6.0,0.0,3.0,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0
9.0,-11.159125,6.0,-6.175,3.0,0.16,0.1818,0.93,0.1045,0.0,20.0,37.3936875
11.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.69,0.3881,2.0,60.0,62.0
12.0,0.0,6.0,0.0,2.0,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0
13.0,0.0,6.0,0.0,3.41,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0
14.0,0.0,6.0,0.0,-2.35,0.2,0.1667,0.32,0.4925,12.0,83.0,95.0
20.0,0.0,6.0,0.0,3.41,0.12,0.1212,-4.5,0.2537,0.0,28.0,28.0
21.0,0.0,6.0,0.0,1.0,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0
0.0,0.0,0.0,0.0,1.0,0.1,0.0758,0.42,0.3881,1.0,24.0,37.3936875
1.0,0.0,0.0,0.0,1.0,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0
4.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,26.853475000000003,1.0
5.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.194,0.0,1.0,-22.3228125
6.0,18.295475,0.0,0.0,1.0,0.1,0.0909,0.49,-5.95,0.0,1.0,1.0
7.0,0.0,0.0,-6.175,1.0,0.08,0.0909,0.53,0.194,1.0,5.0,6.0
8.0,0.0,0.0,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,10.0,37.3936875
9.0,0.0,0.0,0.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0
11.0,0.0,0.0,0.0,1.0,0.16,0.1212,0.4,0.5224,2.0,47.0,49.0
12.875,0.0,0.0,10.105,1.0,5.285,0.197,0.35,0.3582,5.0,77.0,82.0
16.0,0.0,0.0,0.0,1.0,0.2,0.1667,0.34,0.4478,13.0,79.0,92.0
19.0,0.0,0.0,0.0,1.0,0.16,0.1364,0.43,0.3284,1.0,40.0,41.0
20.0,0.0,0.0,0.0,1.0,0.14,0.1212,0.46,0.2537,0.0,-12.682875,38.0
21.0,0.0,0.0,0.0,1.0,0.14,0.1061,0.46,-5.95,1.0,19.0,20.0
22.0,0.0,0.0,0.0,1.0,0.14,3.5,0.46,0.2985,5.0,10.0,15.0
0.0,0.0,1.0,1.0,1.0,0.12,-3.4875,0.5,0.2836,2.0,3.0,5.0
7.0,0.0,-6.725,1.0,1.0,0.12,0.1212,0.5,0.2239,2.0,75.0,77.0
10.0,0.0,-6.725,1.0,2.0,0.14,0.1212,0.5,0.2985,0.0,31.0,31.0
12.0,0.0,1.0,1.0,2.0,0.2,0.1818,0.4,0.2836,5.0,26.853475000000003,52.0
15.0,0.0,1.0,1.0,2.0,0.2,0.197,0.4,0.2239,2.0,43.0,45.0
17.0,0.0,1.0,1.0,-2.35,0.2,0.2273,0.4,0.1045,4.0,174.0,178.0
21.0,0.0,1.0,-6.175,1.0,0.14,0.1364,0.59,0.194,1.0,20.809725,38.0
2.0,0.0,2.0,1.0,3.41,0.16,-3.4875,0.55,0.194,0.0,3.0,3.0
5.0,0.0,2.0,1.0,2.0,0.16,0.1818,0.55,0.1343,0.0,6.0,6.0
6.0,0.0,2.0,1.0,2.0,0.16,0.1818,0.55,0.1343,0.0,27.0,27.0
7.0,0.0,2.0,1.0,2.0,0.16,0.2273,0.55,0.0,2.0,97.0,99.0
9.0,0.0,2.0,1.0,2.0,0.18,0.197,0.51,0.1642,3.0,127.0,130.0
11.0,0.0,2.0,1.0,2.0,0.2,0.2121,0.47,0.1343,4.0,31.0,35.0
12.0,0.0,2.0,1.0,2.0,0.2,-2.5,-4.5,0.1045,2.0,55.0,57.0
15.0,0.0,2.0,1.0,2.0,0.16,0.197,0.8,0.0896,2.0,45.0,47.0
16.0,0.0,2.0,1.0,2.0,5.285,0.1515,0.86,0.2239,-10.15,72.0,76.0
18.0,18.295475,2.0,1.0,3.0,0.16,0.1818,0.93,0.1045,1.0,94.0,95.0
19.0,0.0,2.0,1.0,3.0,0.16,0.2273,0.93,0.0,0.0,51.0,-22.3228125
