hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
-12.625,0.0,6.0,1.0,3.41,0.24,0.2576,0.75,0.0896,0.0,1.0,1.0
6.0,0.0,6.0,0.0,1.0,0.22,0.2727,0.8,0.0,2.0,0.0,2.0
10.0,0.0,6.0,1.0,1.0,0.38,0.3939,1.0,0.2537,12.0,24.0,36.0
13.0,0.0,6.0,0.0,2.0,0.46,0.4545,0.72,0.2985,31.0,47.0,24.8650375
-12.625,0.0,6.0,1.0,2.0,0.46,0.4545,0.72,0.2836,31.0,71.0,24.8650375
20.375,0.0,6.0,0.0,2.0,0.44,0.4394,0.82,0.2836,15.0,52.0,67.0
20.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.87,0.2537,11.0,25.0,36.0
22.0,0.0,6.0,0.0,2.0,0.4,0.4091,0.94,0.2239,-12.05,-16.2743125,28.0
0.0,0.0,0.0,0.0,2.0,0.46,0.4545,1.0,0.2985,4.0,13.0,17.0
11.0,0.0,0.0,0.0,2.0,0.36,0.3333,0.71,0.2537,16.0,54.0,70.0
12.0,0.0,5.67,0.0,2.0,0.36,0.5455,0.66,0.2985,20.0,73.0,93.0
17.0,0.0,0.0,0.0,1.0,0.34,0.3333,0.57,0.194,7.0,-16.2743125,-14.7750625
18.0,0.0,0.0,0.0,2.0,0.36,0.5455,0.46,0.3284,10.0,-15.878937499999996,53.0
19.0,0.0,0.0,0.0,1.0,0.32,0.2879,0.42,0.6567,1.0,29.0,30.0
22.0,0.0,0.0,0.0,1.0,0.24,0.2121,0.44,0.2985,0.0,9.0,9.0
1.0,0.0,1.0,1.0,1.0,0.2,0.1667,0.44,0.4179,0.0,2.0,-14.7750625
4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0
9.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,-16.2743125,88.0
10.0,0.0,5.67,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0
11.0,0.0,1.0,1.0,1.0,0.2,0.1818,0.4,0.3284,10.0,-16.2743125,51.0
13.0,0.0,5.67,1.0,3.5,0.24,0.2121,1.0,0.2836,8.0,26.9645875,61.0
